area_title,occ_title,tot_emp
Alabama,Set and Exhibit Designers,50
Alabama,"Designers, All Other",**
Alabama,Producers and Directors,880
Alabama,Coaches and Scouts,"2,810"
Alabama,Music Directors and Composers,90
Alabama,Musicians and Singers,180
Alabama,Broadcast Announcers and Radio Disc Jockeys,340
Alabama,"News Analysts, Reporters, and Journalists",840
Alabama,Public Relations Specialists,"1,920"
Alabama,Editors,670
Alabama,Technical Writers,580
Alabama,Writers and Authors,170
Alabama,Interpreters and Translators,230
Alabama,Court Reporters and Simultaneous Captioners,340
Alabama,"Media and Communication Workers, All Other",40
Alabama,Audio and Video Technicians,690
Alabama,Broadcast Technicians,420
Alabama,Sound Engineering Technicians,70
Alabama,Photographers,420
Alabama,"Camera Operators, Television, Video, and Film",130
Alabama,Film and Video Editors,60
Alabama,"Lighting Technicians and Media and Communication Equipment Workers, All Other",60
Alabama,Healthcare Practitioners and Technical Occupations,"129,690"
Alabama,Chiropractors,310
Alabama,"Dentists, General","1,170"
Alabama,Dietitians and Nutritionists,750
Alabama,Optometrists,460
Alabama,Pharmacists,"4,700"
Alabama,Physician Assistants,730
Alabama,Podiatrists,100
Alabama,Occupational Therapists,"1,310"
Alabama,Physical Therapists,"2,770"
Alabama,Radiation Therapists,490
Alabama,Recreational Therapists,140
Alabama,Respiratory Therapists,"2,240"
Alabama,Speech-Language Pathologists,"1,700"
Alabama,Exercise Physiologists,80
Alabama,"Therapists, All Other",80
Alabama,Veterinarians,980
Alabama,Registered Nurses,"49,190"
Alabama,Nurse Anesthetists,"1,200"
Alabama,Nurse Practitioners,"3,800"
Alabama,Audiologists,110
Alabama,Anesthesiologists,270
Alabama,Family Medicine Physicians,730
Alabama,General Internal Medicine Physicians,220
Alabama,Obstetricians and Gynecologists,150
Alabama,"Pediatricians, General",490
Alabama,Psychiatrists,230
Alabama,"Physicians, All Other; and Ophthalmologists, Except Pediatric","4,650"
Alabama,"Surgeons, Except Ophthalmologists",560
Alabama,Dental Hygienists,"3,790"
Alabama,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",130
Alabama,Clinical Laboratory Technologists and Technicians,"4,870"
Alabama,Cardiovascular Technologists and Technicians,**
Alabama,Diagnostic Medical Sonographers,"1,110"
Alabama,Nuclear Medicine Technologists,390
Alabama,Radiologic Technologists and Technicians,"3,570"
Alabama,Magnetic Resonance Imaging Technologists,650
Alabama,Emergency Medical Technicians and Paramedics,"3,660"
Alabama,Dietetic Technicians,160
Alabama,Pharmacy Technicians,"6,790"
Alabama,Psychiatric Technicians,"1,300"
Alabama,Surgical Technologists,"1,890"
Alabama,Veterinary Technologists and Technicians,"1,060"
Alabama,Ophthalmic Medical Technicians,830
Alabama,Licensed Practical and Licensed Vocational Nurses,"12,400"
Alabama,"Opticians, Dispensing","1,050"
Alabama,Orthotists and Prosthetists,150
Alabama,Hearing Aid Specialists,100
Alabama,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","4,160"
Alabama,Athletic Trainers,550
Alabama,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",530
Alabama,Healthcare Support Occupations,"68,060"
Alabama,Home Health and Personal Care Aides,"19,440"
Alabama,Nursing Assistants,"22,750"
Alabama,Orderlies,930
Alabama,Psychiatric Aides,"1,640"
Alabama,Occupational Therapy Assistants,520
Alabama,Physical Therapist Assistants,"1,790"
Alabama,Physical Therapist Aides,970
Alabama,Massage Therapists,430
Alabama,Dental Assistants,"3,140"
Alabama,Medical Assistants,"9,580"
Alabama,Medical Equipment Preparers,"1,200"
Alabama,Medical Transcriptionists,720
Alabama,Pharmacy Aides,520
Alabama,Veterinary Assistants and Laboratory Animal Caretakers,"1,450"
Alabama,Phlebotomists,"2,010"
Alabama,"Healthcare Support Workers, All Other",960
Alabama,Protective Service Occupations,"44,660"
Alabama,First-Line Supervisors of Correctional Officers,410
Alabama,First-Line Supervisors of Police and Detectives,"1,090"
Alabama,First-Line Supervisors of Firefighting and Prevention Workers,980
Alabama,"Miscellaneous First-Line Supervisors, Protective Service Workers",700
Alabama,Firefighters,"6,070"
Alabama,Fire Inspectors and Investigators,130
Alabama,Forest Fire Inspectors and Prevention Specialists,40
Alabama,Bailiffs,100
Alabama,Correctional Officers and Jailers,"4,590"
Alabama,Detectives and Criminal Investigators,"1,170"
Alabama,Fish and Game Wardens,140
Alabama,Parking Enforcement Workers,40
Alabama,Police and Sheriff's Patrol Officers,"11,410"
Alabama,Animal Control Workers,210
Alabama,Private Detectives and Investigators,240
Alabama,Gambling Surveillance Officers and Gambling Investigators,70
Alabama,Security Guards,"14,220"
Alabama,Crossing Guards and Flaggers,470
Alabama,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","1,110"
Alabama,Transportation Security Screeners,230
Alabama,"School Bus Monitors and Protective Service Workers, All Other","1,230"
Alabama,Food Preparation and Serving Related Occupations,"186,900"
Alabama,Chefs and Head Cooks,990
Alabama,First-Line Supervisors of Food Preparation and Serving Workers,"19,420"
Alabama,"Cooks, Fast Food","8,810"
Alabama,"Cooks, Institution and Cafeteria","10,020"
Alabama,"Cooks, Restaurant","15,720"
Alabama,"Cooks, Short Order","2,940"
Alabama,"Cooks, All Other",**
Alabama,Food Preparation Workers,"13,500"
Alabama,Bartenders,"4,820"
Alabama,Fast Food and Counter Workers,"62,620"
Alabama,Waiters and Waitresses,"33,650"
Alabama,"Food Servers, Nonrestaurant","2,680"
Alabama,Dining Room and Cafeteria Attendants and Bartender Helpers,"3,020"
Alabama,Dishwashers,"4,100"
Alabama,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","3,980"
Alabama,"Food Preparation and Serving Related Workers, All Other",530
Alabama,Building and Grounds Cleaning and Maintenance Occupations,"55,720"
Alabama,First-Line Supervisors of Housekeeping and Janitorial Workers,"1,810"
Alabama,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","1,690"
Alabama,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","26,190"
Alabama,Maids and Housekeeping Cleaners,"11,220"
Alabama,Pest Control Workers,"2,310"
Alabama,Landscaping and Groundskeeping Workers,"11,540"
Alabama,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300
Alabama,Tree Trimmers and Pruners,320
Alabama,Personal Care and Service Occupations,"34,260"
Alabama,First-Line Supervisors of Gambling Services Workers,210
Alabama,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services","2,350"
Alabama,Animal Trainers,100
Alabama,Animal Caretakers,"2,990"
Alabama,Gambling and Sports Book Writers and Runners,160
Alabama,Motion Picture Projectionists,**
Alabama,"Ushers, Lobby Attendants, and Ticket Takers",480
Alabama,Amusement and Recreation Attendants,"3,110"
Alabama,Costume Attendants,40
Alabama,"Locker Room, Coatroom, and Dressing Room Attendants",70
Alabama,Embalmers,160
Alabama,Funeral Attendants,580
Alabama,"Morticians, Undertakers, and Funeral Arrangers",440
Alabama,Barbers,210
Alabama,"Hairdressers, Hairstylists, and Cosmetologists","4,530"
Alabama,Manicurists and Pedicurists,410
Alabama,Shampooers,80
Alabama,Skincare Specialists,410
Alabama,Baggage Porters and Bellhops,250
Alabama,Concierges,150
Alabama,Tour and Travel Guides,430
Alabama,Childcare Workers,"6,140"
Alabama,Exercise Trainers and Group Fitness Instructors,"3,030"
Alabama,Recreation Workers,"5,010"
Alabama,Residential Advisors,"2,840"
Alabama,"Crematory Operators and Personal Care and Service Workers, All Other",40
Alabama,Sales and Related Occupations,"208,730"
Alabama,First-Line Supervisors of Retail Sales Workers,"21,830"
Alabama,First-Line Supervisors of Non-Retail Sales Workers,"2,760"
Alabama,Cashiers,"61,180"
Alabama,Counter and Rental Clerks,"6,040"
Alabama,Parts Salespersons,"3,750"
Alabama,Retail Salespersons,"64,130"
Alabama,Advertising Sales Agents,"1,370"
